Unnamed: 0,name_of_the_fund_lst,aum_funds_individual_lst,nav_funds_individual_lst,Exit_Load_lst,rating_of_funds_individual_lst,minimum_funds_individual_lst,pe,pb,debt_per,equity_per,average_maturity,yield_to_maturity,name_of_the_fund,risk_of_the_fund,type_of_fund,one_year_returns,three_year_returns,five_year_returns,link_of_the_funds
21,DSP Small Cap Direct Plan Growth,"₹7,958.34Cr",114.20,Exit load of 1% if redeemed less than 12 months,3,500.0,17.00822934,2.72153601,5.53826376,94.46173583,,,DSP Small Cap Direct Plan Growth,Very High,Equity,7.23,28.56,12.35,https://groww.in/mutual-funds/dsp-blackrock-micro-cap-fund-direct-growth
22,Tata Digital India Fund Direct Growth,"₹5,433.80Cr",33.56,Exit load of 0.25% if redeemed within 30 days.,,150.0,23.96289897,5.87631505,7.05,92.94,,,Tata Digital India Fund Direct Growth,Very High,Equity,-2.16,28.48,27.4,https://groww.in/mutual-funds/tata-digital-india-fund-direct-growth
23,SBI Small Cap Fund Direct Growth,"₹11,646.28Cr",112.80,Exit load of 1% if redeemed within 1 year,4,500.0,28.240999,4.51715204,8.4491509,91.5508491,,,SBI Small Cap Fund Direct Growth,Very High,Equity,7.63,28.28,18.51,https://groww.in/mutual-funds/sbi-small-midcap-fund-direct-growth
24,Invesco India Smallcap Fund Direct Growth,"₹1,162.09Cr",20.87,"For units in excess of 10% of the investment, 1% will be charged for redemption within 1 year.",3,500.0,25.7418585,3.17357843,4.75,95.25,,,Invesco India Smallcap Fund Direct Growth,Very High,Equity,0.19,28.15,,https://groww.in/mutual-funds/invesco-india-smallcap-fund-direct-direct-growth
25,Quant Multi Asset Fund Direct Growth,₹308.55Cr,78.94,Nil,5,308.55,,,10.695265,74.25,2140.0000005,6.16,Quant Multi Asset Fund Direct Growth,Very High,Hybrid,8.51,28.09,17.67,https://groww.in/mutual-funds/quant-multi-asset-fund-direct-growth
26,SBI Magnum Mid Cap Direct Plan Growth,"₹6,740.91Cr",150.60,Exit load of 1% if redeemed within 1 year,3,500.0,28.47195023,4.12942869,4.41,95.59,,,SBI Magnum Mid Cap Direct Plan Growth,Very High,Equity,11.81,27.65,13.14,https://groww.in/mutual-funds/sbi-magnum-midcap-fund-direct-growth
27,Quant Absolute Fund Direct Growth,₹437.03Cr,289.68,Nil,5,437.03,18.94734783,2.36152013,20.88261875,79.11742683,,,Quant Absolute Fund Direct Growth,Very High,Hybrid,9.04,27.28,18.1,https://groww.in/mutual-funds/quant-absolute-fund-direct-growth
28,ICICI Prudential Pharma Healthcare And Diagnostics (P.H.D) Fund Direct Growth,"₹2,417.25Cr",19.91,Exit load of 1% if redeemed within 15 days.,,100.0,26.55928382,3.09959962,6.50168446,93.49831554,,,ICICI Prudential Pharma Healthcare And Diagnostics (P.H.D) Fund Direct Growth,Very High,Equity,-9.34,26.93,,https://groww.in/mutual-funds/icici-prudential-pharma-healthcare-and-diagnostics-fund-direct-growth
29,SBI Technology Opportunities Fund Direct Growth,"₹2,381.33Cr",140.74,Exit load of 0.50% if redeemed within 15 days,,500.0,25.86402194,6.51641481,4.38,95.62,,,SBI Technology Opportunities Fund Direct Growth,Very High,Equity,-1.1,26.54,24.43,https://groww.in/mutual-funds/sbi-it-fund-direct-growth
30,SBI Contra Direct Plan Growth,"₹4,670.06Cr",216.34,Exit load of 1% if redeemed within 1 year,4,500.0,15.29207007,2.19503392,10.94137541,89.05862459,,,SBI Contra Direct Plan Growth,Very High,Equity,13.46,26.53,13.82,https://groww.in/mutual-funds/sbi-contra-fund-direct-growth
31,Motilal Oswal Midcap 30 Fund Direct Growth,"₹2,575.14Cr",50.92,Exit load of 1% if redeemed within 15 days,3,500.0,44.00166421,6.51778168,3.6844,96.31559985,,,Motilal Oswal Midcap 30 Fund Direct Growth,Very High,Equity,25.79,26.52,13.97,https://groww.in/mutual-funds/motilal-oswal-most-focused-midcap-30-fund-direct-growth
32,Edelweiss Mid Cap Direct Plan Growth,"₹1,863.52Cr",54.14,Exit load of 1% if redeemed within 12 months,4,500.0,24.97438231,3.18674626,5.19,94.81,,,Edelweiss Mid Cap Direct Plan Growth,Very High,Equity,4.57,26.29,15.48,https://groww.in/mutual-funds/edelweiss-mid-and-small-cap-fund-direct-growth
33,SBI Healthcare Opportunities Fund Direct Plan Growth,"₹1,589.63Cr",232.91,Exit load of 0.50% if redeemed within 15 days,,500.0,39.30126097,4.6524212,2.36,97.64,,,SBI Healthcare Opportunities Fund Direct Plan Growth,Very High,Equity,-10.35,26.22,11.18,https://groww.in/mutual-funds/sbi-pharma-fund-direct-growth
34,Nippon India Pharma Fund Direct Growth,"₹4,400.36Cr",295.65,Exit load of 1% if redeemed within 1 month.,,100.0,29.49047162,4.08762918,1.0,99.0,,,Nippon India Pharma Fund Direct Growth,Very High,Equity,-12.04,25.93,15.91,https://groww.in/mutual-funds/nippon-india-pharma-fund-direct-growth
35,Principal Global Opportunities Fund Direct Growth,₹38.03Cr,49.25,Exit load of 1% if redeemed within 1 year,,38.03,,,1.69,98.31,,,Principal Global Opportunities Fund Direct Growth,Very High,Other,27.05,25.29,17.49,https://groww.in/mutual-funds/principal-global-opportunities-fund-direct-growth
36,Kotak Emerging Equity Fund Direct Growth,"₹18,258.63Cr",78.25,"For units in excess of 10% of the investment,1% will be charged for redemption within 365 days",4,18258.63,26.11099824,4.07784973,4.87,95.13,,,Kotak Emerging Equity Fund Direct Growth,Very High,Equity,7.03,25.21,14.84,https://groww.in/mutual-funds/kotak-emerging-equity-scheme-direct-growth
37,Sundaram Small Cap Fund Direct Growth,"₹1,805.33Cr",146.01,"For units more than 25% of the investments, an exit load of 1% if redeemed within 365 days.",2,100.0,26.49068301,3.65123146,5.6707531,94.3292472,,,Sundaram Small Cap Fund Direct Growth,Very High,Equity,3.14,25.21,8.58,https://groww.in/mutual-funds/sundaram-smile-fund-direct-growth
38,Nippon India Consumption Fund Direct Growth,₹194.80Cr,127.32,Exit load of 1% if redeemed within 1 month.,4,100.0,39.91072532,5.87828551,5.35,94.65,,,Nippon India Consumption Fund Direct Growth,Very High,Equity,17.84,25.18,14.05,https://groww.in/mutual-funds/nippon-india-consumption-fund-direct-growth
39,L&amp;T Emerging Businesses Fund Direct Growth,"₹7,335.59Cr",46.38,"For units in excess of 10% of the investment,1% will be charged for redemption within 1 year.",3,500.0,21.60804706,3.28407303,3.09,96.91,,,L&amp;T Emerging Businesses Fund Direct Growth,Very High,Equity,10.23,25.17,13.16,https://groww.in/mutual-funds/l-t-emerging-businesses-fund-direct-growth
40,Tata Resources &amp; Energy Fund Direct Growth,₹205.27Cr,28.47,Exit load of 0.25% if redeemed within 30 days.,,150.0,9.24302159,1.76579092,3.76999999,96.24,,,Tata Resources &amp; Energy Fund Direct Growth,Very High,Equity,-4.65,25.04,13.8,https://groww.in/mutual-funds/tata-resources-energy-fund-direct-growth
41,IDBI Small Cap Fund Direct Growth,₹122.03Cr,18.23,Exit load of 1% if redeemed within 12 months.,3,500.0,27.93829854,4.78847242,2.05,97.95,,,IDBI Small Cap Fund Direct Growth,Very High,Equity,12.39,25.04,12.64,https://groww.in/mutual-funds/idbi-small-cap-fund-direct-growth
42,UTI Mid Cap Fund Direct Growth,"₹6,189.61Cr",192.88,Exit load of 1% if redeemed less than 1 year,3,500.0,26.87564472,3.93671909,3.58,96.45,,,UTI Mid Cap Fund Direct Growth,Very High,Equity,4.98,24.93,13.0,https://groww.in/mutual-funds/uti-mid-cap-fund-direct-growth
43,Tata India Pharma &amp; HealthCare Fund Direct Growth,₹495.81Cr,18.04,Exit load of 0.25% if redeemed within 30 days.,,150.0,30.56844854,3.84600822,2.03000001,97.96,,,Tata India Pharma &amp; HealthCare Fund Direct Growth,Very High,Equity,-8.0,24.64,14.29,https://groww.in/mutual-funds/tata-india-pharma-and-healthcare-fund-direct-growth
44,UTI Healthcare Fund Direct Growth,₹683.45Cr,160.62,Exit load of 1% if redeemed within 30 days.,,500.0,28.02108038,3.81778061,1.86,98.11,,,UTI Healthcare Fund Direct Growth,Very High,Equity,-12.69,24.64,11.97,https://groww.in/mutual-funds/uti-pharma-and-healthcare-fund-direct-growth
45,Mahindra Manulife Mid Cap Unnati Yojana Direct Growth,₹858.91Cr,17.69,Exit load of 1% if redeemed within 1 year.,3,500.0,22.54011702,2.58383039,6.1,93.9,,,Mahindra Manulife Mid Cap Unnati Yojana Direct Growth,Very High,Equity,2.04,24.32,,https://groww.in/mutual-funds/mahindra-unnati-emerging-business-yojana-direct-growth
46,Bank of India Manufacturing &amp; Infrastructure Direct Growth,₹69.44Cr,30.50,"For units more than 10% of the investments, an exit load of 1% if redeemed within 1 year.",4,69.44,17.41527322,2.88312633,2.3,97.7,,,Bank of India Manufacturing &amp; Infrastructure Direct Growth,Very High,Equity,5.43,24.23,13.84,https://groww.in/mutual-funds/boi-axa-manufacturing-infrastructure-fund-direct-growth
47,PGIM India Flexi Cap Fund Direct Growth,"₹4,241.13Cr",26.43,0.5% for redemption within 90 days,5,4241.13,25.11750747,3.70031333,5.00000001,95.0,,,PGIM India Flexi Cap Fund Direct Growth,Very High,Equity,-1.09,24.19,15.1,https://groww.in/mutual-funds/pgim-india-flexi-cap-fund-direct-growth
48,ICICI Prudential MNC Fund Direct Growth,"₹1,194.76Cr",19.10,Exit load of 1% if redeemed within 12 months.,,100.0,29.77114558,3.98412239,4.72915268,95.27084692,,,ICICI Prudential MNC Fund Direct Growth,High,Equity,9.71,24.09,,https://groww.in/mutual-funds/icici-prudential-mnc-fund-direct-growth
49,Bank of India Tax Advantage Direct Growth,₹551.26Cr,102.16,Nil,5,500.0,27.69236289,4.07526801,5.08,94.92,,,Bank of India Tax Advantage Direct Growth,Very High,Equity,-2.18,24.08,14.93,https://groww.in/mutual-funds/boi-axa-tax-advantage-fund-direct-growth
50,Bank of India Mid &amp; Small Cap Equity &amp; Debt Fund Direct Growth,₹322.07Cr,22.18,"For units more than 10% of the investments, an exit load of 1% if redeemed within 1 year.",4,322.07,25.5081891,4.48146121,21.22,78.78,233.6,6.08,Bank of India Mid &amp; Small Cap Equity &amp; Debt Fund Direct Growth,Very High,Hybrid,-2.51,24.06,12.2,https://groww.in/mutual-funds/boi-axa-mid-cap-equity-debt-fund-direct-growth
51,Edelweiss Recently Listed IPO Fund Direct Growth,₹921.68Cr,17.00,Exit load of 2% if redeemed within 6 months.,,500.0,46.32596505,6.76852142,5.77801305,94.22198695,,,Edelweiss Recently Listed IPO Fund Direct Growth,Very High,Equity,-7.16,23.99,,https://groww.in/mutual-funds/edelweiss-maiden-opportunities-fund-series-1-direct-growth
52,Quant Large and Mid Cap Fund Direct Growth,₹155.43Cr,68.82,Nil,5,155.43,15.04385875,2.04385653,1.19976761,98.80036087,,,Quant Large and Mid Cap Fund Direct Growth,Very High,Equity,12.06,23.96,13.29,https://groww.in/mutual-funds/quant-large-and-mid-cap-fund-direct-growth
53,Nippon India Growth Fund Direct Growth,"₹11,267.89Cr","2,128.59",Exit load of 1% if redeemed within 1 months,4,100.0,17.27885056,2.57400118,4.590502000000001,95.409499,,,Nippon India Growth Fund Direct Growth,Very High,Equity,7.6,23.76,14.15,https://groww.in/mutual-funds/nippon-india-growth-fund-direct-growth
54,Mahindra Manulife Multi Cap Badhat Yojana Direct Growth,"₹1,134.55Cr",21.22,Exit load of 1% if redeemed within 1 year.,5,500.0,17.25131209,2.12023661,2.25,97.75,,,Mahindra Manulife Multi Cap Badhat Yojana Direct Growth,Very High,Equity,5.74,23.65,15.19,https://groww.in/mutual-funds/mahindra-badhat-yojana-direct-growth
55,Baroda BNP Paribas Midcap Direct Growth,"₹1,063.93Cr",63.18,"For units in excess of 10% of the investment,1% will be charged for redemption within 12 months",4,500.0,17.24675148,2.50925921,9.67,90.33,,,Baroda BNP Paribas Midcap Direct Growth,Very High,Equity,2.74,23.65,12.64,https://groww.in/mutual-funds/baroda-bnp-paribas-midcap-direct-growth
56,Baroda Midcap Direct Fund Growth,₹92.04Cr,17.84,Exit load of 1% if redeemed within 365 Days.,4,92.04,22.50413199,3.141789,2.11,97.89,,,Baroda Midcap Direct Fund Growth,Very High,Equity,27.49,23.56,16.94,https://groww.in/mutual-funds/baroda-pioneer-mid-cap-fund-direct-growth
57,Invesco India Infrastructure Fund Direct Growth,₹414.31Cr,34.69,"For units in excess of 10% of the investment, 1% will be charged for redemption within 1 year.",5,500.0,21.13586708,3.12145257,2.99,97.01,,,Invesco India Infrastructure Fund Direct Growth,Very High,Equity,6.87,23.45,14.72,https://groww.in/mutual-funds/invesco-india-infrastructure-fund-direct-growth
58,Parag Parikh Flexi Cap Fund Direct Growth,"₹22,323.99Cr",48.22,"For units above 10% of the investment, exit load of 2% if redeemed within 365 days and 1% if redeemed after 365 days but on or before 730 days.",5,22323.99,16.36828815,2.90741057,6.494479490000001,93.51,,,Parag Parikh Flexi Cap Fund Direct Growth,Very High,Equity,0.29,23.28,17.43,https://groww.in/mutual-funds/parag-parikh-long-term-value-fund-direct-growth
59,Axis Midcap Direct Plan Growth,"₹16,566.73Cr",71.51,"For units in excess of 10% of the investment,1% will be charged for redemption within 12 months",5,500.0,33.04970222,5.69483543,15.04737004,84.95262996,,,Axis Midcap Direct Plan Growth,Very High,Equity,3.0,23.19,17.5,https://groww.in/mutual-funds/axis-midcap-fund-direct-growth
60,IDFC Sterling Value Fund Direct Plan Growth,"₹4,253.68Cr",93.54,"If unit beyond 10%, Exit load of 1% if redeemed within 1 year.",4,100.0,21.07077857,2.8257052,7.45,92.55,,,IDFC Sterling Value Fund Direct Plan Growth,Very High,Equity,9.05,23.06,12.45,https://groww.in/mutual-funds/idfc-sterling-equity-fund-direct-growth
61,Invesco India Mid Cap Fund Direct Growth,"₹2,148.46Cr",94.23,"For units in excess of 10% of the investment, 1% will be charged for redemption within 1 year.",4,500.0,22.29086981,3.20222681,4.1,95.9,,,Invesco India Mid Cap Fund Direct Growth,Very High,Equity,1.77,23.01,14.77,https://groww.in/mutual-funds/invesco-india-mid-cap-fund-direct-growth
62,Principal Emerging Bluechip Fund Direct Growth,"₹3,124.32Cr",200.18,"For units in excess of 24% of the investment,1% will be charged for redemption within 365 days",4,3124.32,31.67750097,3.35574089,2.119999999999999,97.88,,,Principal Emerging Bluechip Fund Direct Growth,Very High,Equity,41.77,22.81,20.68,https://groww.in/mutual-funds/principal-emerging-bluechip-fund-direct-growth
63,Sundaram Services Fund Direct Growth,"₹1,992.59Cr",20.44,"For units more than 25% of the investments, an exit load of 1% if redeemed within 365 days.",,100.0,25.8164028,3.63395851,5.98065761,94.0193422,,,Sundaram Services Fund Direct Growth,Very High,Equity,7.6,22.74,,https://groww.in/mutual-funds/sundaram-services-fund-direct-growth
64,Templeton India Equity Income Direct Plan Growth,"₹1,216.26Cr",87.45,Exit load of 1% if redeemed within 1 year,,500.0,10.91943656,2.04314698,5.74595142,94.25404837,,,Templeton India Equity Income Direct Plan Growth,Very High,Equity,10.33,22.71,14.22,https://groww.in/mutual-funds/templeton-india-equity-i-come-fund-direct-growth
65,Tata Midcap Growth Direct Plan Growth,"₹1,462.15Cr",255.33,"For units more than 12% of the investments, an exit load of 1% if redeemed within 365 days.",3,150.0,24.13345843,3.15677674,4.18,95.82,,,Tata Midcap Growth Direct Plan Growth,Very High,Equity,5.44,22.34,13.36,https://groww.in/mutual-funds/tata-mid-cap-growth-fund-direct-growth
66,Tata Ethical Direct Plan Growth,"₹1,199.36Cr",289.78,"For units in excess of 12% of the investment,1% will be charged for redemption within 365 Days.",,150.0,30.37060957,5.61984957,3.63,96.36,,,Tata Ethical Direct Plan Growth,Very High,Equity,5.64,22.23,13.77,https://groww.in/mutual-funds/tata-ethical-fund-direct-growth
67,SBI Consumption Opportunities Fund Direct Growth,₹918.84Cr,206.73,Exit load of 0.10% if redeemed within 30 days.,3,500.0,37.66528115,5.89987194,7.17,92.83,,,SBI Consumption Opportunities Fund Direct Growth,Very High,Equity,19.41,22.17,15.01,https://groww.in/mutual-funds/sbi-fmcg-fund-direct-growth
68,IDBI Healthcare Fund Direct Growth,₹59.14Cr,17.82,Exit load of 1% if redeemed within 12 months.,,500.0,31.69711204,4.29939381,1.01,98.99,,,IDBI Healthcare Fund Direct Growth,High,Equity,-12.69,22.03,,https://groww.in/mutual-funds/idbi-healthcare-fund-direct-growth
69,ICICI Prudential Thematic Advantage Fund (FOF)Direct Growth,₹611.15Cr,128.04,Exit load of 1% if redeemed within 1 year,,611.15,17.56858857,2.48062692,16.99873145,82.999685,,,ICICI Prudential Thematic Advantage Fund (FOF)Direct Growth,Very High,Other,6.04,21.94,13.11,https://groww.in/mutual-funds/icici-prudential-very-aggressive-plan-direct-growth
70,Axis Growth Opportunities Fund Direct Growth,"₹7,070.61Cr",20.07,"For units in excess of 10% of the investment, 1% will be charged for redemption within 12 months.",5,7070.61,26.14974562,5.2882578,4.070469999999999,95.929532,,,Axis Growth Opportunities Fund Direct Growth,Very High,Equity,0.1,21.84,,https://groww.in/mutual-funds/axis-growth-opportunities-fund-direct-growth
71,HDFC Mid Cap Opportunities Direct Plan Growth,"₹29,095.04Cr",97.62,Exit load of 1% if redeemed within 1 year.,3,300.0,15.76787809,2.29694408,4.0,96.0,,,HDFC Mid Cap Opportunities Direct Plan Growth,Very High,Equity,7.58,21.73,11.93,https://groww.in/mutual-funds/hdfc-mid-cap-opportunities-fund-direct-growth
72,UTI Transportation and Logistics Fund Direct Growth,"₹1,739.64Cr",162.82,Exit load of 1% if redeemed within 30 days.,,500.0,30.42066651,3.61162684,2.44,97.53,,,UTI Transportation and Logistics Fund Direct Growth,Very High,Equity,23.16,21.72,6.49,https://groww.in/mutual-funds/uti-transportation-and-logistics-fund-direct-growth
73,Franklin India Feeder Franklin US Opportunities Direct Fund Growth,"₹2,888.25Cr",48.16,Exit load of 1% if redeemed within one year.,,2888.25,,,0.98755054,99.01244945,,,Franklin India Feeder Franklin US Opportunities Direct Fund Growth,Very High,Other,3.96,21.63,19.74,https://groww.in/mutual-funds/franklin-india-feeder-franklin-us-opportunities-fund-direct-growth
74,ICICI Prudential India Opportunities Fund Direct Growth,"₹4,781.24Cr",18.71,Exit load of 1% if redeemed within 1 year.,,100.0,12.12599983,1.57620662,5.51157627,94.48842354,,,ICICI Prudential India Opportunities Fund Direct Growth,Very High,Equity,17.9,21.56,,https://groww.in/mutual-funds/icici-prudential-india-opportunities-fund-direct-growth
75,Mirae Asset Emerging Bluechip Fund Direct Growth,"₹20,663.71Cr",99.37,Exit load of 1% if redeemed within 1 year,5,20663.71,18.7390097,2.94361887,0.64941147,99.35058755,,,Mirae Asset Emerging Bluechip Fund Direct Growth,Very High,Equity,2.77,21.55,15.07,https://groww.in/mutual-funds/mirae-asset-emerging-bluechip-fund-direct-growth
76,Canara Robeco Consumer Trends Fund Direct Growth,₹760.49Cr,72.39,Exit load of 1% if redeemed within 1 year,4,760.49,32.54292471,4.43965075,3.42999999,96.57,,,Canara Robeco Consumer Trends Fund Direct Growth,Very High,Equity,10.12,21.48,15.37,https://groww.in/mutual-funds/canara-robeco-force-fund-direct-growth
77,HDFC Small Cap Fund Direct Growth,"₹11,753.00Cr",77.29,Exit load of 1% if redeemed within 1 year,3,300.0,14.36245052,1.86253579,6.16,93.84,,,HDFC Small Cap Fund Direct Growth,Very High,Equity,1.44,21.47,14.06,https://groww.in/mutual-funds/hdfc-small-cap-fund-direct-growth
78,Mirae Asset Focused Fund Direct Growth,"₹8,061.98Cr",18.76,Exit load of 1% if redeemed within 1 year.,5,8061.98,22.09696186,3.58179325,1.59066036,98.4093395,,,Mirae Asset Focused Fund Direct Growth,Very High,Equity,2.28,21.42,,https://groww.in/mutual-funds/mirae-asset-focused-fund-direct-growth
79,Aditya Birla Sun Life Pharma &amp; Healthcare Fund Direct Growth,₹462.14Cr,17.92,Exit load of 1% if redeemed within 30 days.,,500.0,30.97476839,3.92202867,2.15819873,97.84180112,,,Aditya Birla Sun Life Pharma &amp; Healthcare Fund Direct Growth,High,Equity,-10.58,21.28,,https://groww.in/mutual-funds/aditya-birla-sun-life-pharma-healthcare-fund-direct-growth
80,IDFC Tax Advantage (ELSS) Direct Plan Growth,"₹3,399.14Cr",102.64,Nil,4,500.0,19.28318651,2.6564629,4.069999999999999,95.93,,,IDFC Tax Advantage (ELSS) Direct Plan Growth,Very High,Equity,6.77,21.08,13.65,https://groww.in/mutual-funds/idfc-tax-advantage-elss-fund-direct-growth
81,Baroda BNP Paribas India Consumption Fund Direct Growth,₹830.01Cr,20.45,"For units in excess of 10% of the investment,1% will be charged for redemption within 12 months.",4,500.0,32.71223935,4.69210644,9.27,90.73,,,Baroda BNP Paribas India Consumption Fund Direct Growth,Very High,Equity,10.05,20.95,,https://groww.in/mutual-funds/baroda-bnp-paribas-india-consumption-fund-direct-growth
